FID,month,year,lat,long,d15N,d13C,distMeters,nearLand,densityLar,densitySma,Ches,Del,Hud,LI,Nar,Bos
0,10,"2,002",36.89166667,-75.885,7,NA,8728.23,8637.33,6.90E-06,2.50E-06,127238.51,257050.55,436760.05,543604.58,655960.25,739030.16
1,5,"2,004",36.8535,-75.81166667,9.2,NA,14247.75,14090.9,6.70E-06,1.20E-06,132929.71,259899.06,438516.21,544328.08,655836.16,739132.69
2,11,"2,005",36.78833333,-75.78166667,8.2,NA,15194.81,15047.4,6.40E-06,2.00E-07,140668.24,266580.91,444507.36,549588.95,660431.54,743901.06
3,11,"2,000",36.48833333,-75.62833333,6.36,NA,19724.61,19527.76,5.00E-06,0,176707.2,297840.84,472340.63,573942.79,681586.98,765770.42
4,5,"2,004",36.06333333,-75.61166667,8.1,NA,5963.24,5929.22,3.20E-06,0,223107.82,345021.38,517786.85,617010.39,722046.56,806705.84
5,11,"2,004",36.03166667,-75.58833333,8.7,NA,6268.85,6222.58,3.10E-06,0,227042.15,348359.96,520690.55,619496.13,724143.56,808861.27
6,10,"2,002",36.17,-75.57166667,6.1,NA,14575.99,14451.43,3.70E-06,0,212397.66,332797.02,505325.88,604610.7,709876.45,794490.98
7,5,"2,001",36.235,-75.545,6.06,NA,19421.16,19245.09,3.90E-06,0,206022.31,325338.89,497680.74,596977.9,702366.52,786955.67
8,8,"2,004",36.73666667,-75.52833333,4.9,NA,34465.27,34161.3,6.10E-06,0,153401.27,269237.02,443149.95,544964.16,653225.66,737258.85
9,5,"2,002",36.20833333,-75.50833333,4.7,NA,21498.72,21323.48,3.80E-06,0,209811.58,328058.79,499751.59,598482.9,703375.71,788040.5
10,11,"2,001",37.72166667,-75.48,7.4,NA,6392.2,6342.27,1.03E-05,2.63E-05,70318.11,159093.69,337183.55,445118.26,559796.54,642030.16
11,8,"2,004",35.74333333,-75.45166667,7.2,NA,4342.48,4307.92,2.00E-06,0,261332.5,379716.63,549232.78,645165.59,746997.54,832082.16
12,5,"2,001",36.74333333,-75.44666667,5.04,NA,41604.35,41218.83,6.10E-06,0,155630.11,267890.32,440438.05,541277.87,648812.34,732981.17
13,11,"2,000",36.72166667,-75.415,5.94,NA,43617.06,43196.79,6.00E-06,0,159021.76,270129.83,442034.26,542348.89,649441.5,733692.48
14,10,"2,001",36.16,-75.37,3.9,NA,30223.82,30027.7,3.50E-06,0,218781.18,332781.68,502111.33,598937.59,702229.08,787111.81
15,11,"2,001",36.80833333,-75.30833333,5.8,NA,55681.57,55197.08,6.30E-06,0,154844.52,260017.22,430237.84,529665.02,636266.73,720589.8
16,11,"2,005",35.44666667,-75.28,6.6,NA,18390.67,18202.69,1.20E-06,0,297413.54,412439.72,578725.85,671475.91,770177.79,855550.84
17,5,"2,002",37.69333333,-75.24666667,6,NA,21245.95,21314.42,1.01E-05,1.71E-05,90181.82,160755.88,333400.63,437932.68,550232.24,633167.1
18,11,"2,000",37.85166667,-75.12833333,7.79,NA,18698.69,18552.04,1.07E-05,1.50E-05,95069.81,143249.22,313379.53,417416.5,529798.34,612673.59
19,5,"2,004",36.81166667,-75.035,14.3,NA,79032.03,78275.9,6.00E-06,0,167968.67,260076.77,424480.79,520125.66,623895.83,708642.33
20,5,"2,004",35.84666667,-74.98666667,7.3,NA,47931.31,47499.31,2.00E-06,0,264011.59,368228.8,530196.32,620809.4,718492.47,803909.49
21,11,"2,004",36.115,-74.945,6.4,NA,62914.85,62452.17,3.00E-06,0,238474.23,338476.08,499930.93,591036.5,689681.35,775016.98
22,8,"2,004",35.765,-74.925,2.2,NA,51259.02,50758.23,1.70E-06,0,274605.96,377697.65,538445.16,627948.89,724560.5,810041.76
23,11,"2,004",36.89333333,-74.90666667,5.4,NA,87089.01,86385.66,6.20E-06,0,168165.45,251930.47,413368.35,507537.86,610413.39,695262.13
24,11,"2,005",36.03,-74.90166667,5,NA,62928.22,62508.74,2.60E-06,0,248708.47,348259.89,508773.67,598949.92,696665.02,782069.06
25,11,"2,001",38.72833333,-74.81,7.8,NA,23081.38,22838.81,1.41E-05,3.22E-05,145680.05,57256.64,211369.33,318517.34,435530.46,516668.94
26,5,"2,004",38.71916667,-74.80333333,6.7,NA,23504.17,23265.45,1.41E-05,3.19E-05,145592.57,58418.53,212172.05,319082.77,435935.32,517136.64
27,11,"2,002",38.27666667,-74.78,6.4,NA,27049.13,26811.41,1.22E-05,1.39E-05,127436.08,102815.55,259368.64,361159.83,473480.07,556251.59
28,5,"2,002",38.44833333,-74.77666667,7,NA,23811.56,23556.13,1.30E-05,2.07E-05,133573.7,85381.47,240664.17,344078.26,457984.65,540255.93
29,10,"2,000",38.43833333,-74.76,6.8,NA,25294.63,25024.27,1.29E-05,1.96E-05,134507.48,87035,241380.08,344364.25,457986.26,540344.16
30,11,"2,005",37.11166667,-74.73833333,4.9,NA,90063.19,89364.55,6.90E-06,0,162282.74,229865.54,386791.35,479451.32,581830.68,666707.76
31,11,"2,002",38.82333333,-74.73,7.2,NA,17516.73,17518.53,1.44E-05,3.34E-05,157394.49,54541.65,199144.97,305837.99,422973.8,504030.21
32,8,"2,004",37.152,-74.72333333,4.9,NA,89568.91,88810.98,7.00E-06,0,160580.35,225670.89,382123.76,474752.74,577231.37,662090.69
33,11,"2,000",37.42,-74.68,5.07,NA,77873.8,77648.69,8.20E-06,0,148040.46,197141.01,351862.01,445282.47,549174.29,633808.53
34,5,"2,001",38.33666667,-74.67833333,6.85,NA,33986.43,33654.77,1.24E-05,1.32E-05,137653.29,100407.19,250811.35,351151.47,462842.7,545756.33
35,11,"2,004",38.565,-74.66333333,7.9,NA,34168.24,33807.58,1.34E-05,2.23E-05,147746.97,79471.34,225578.81,327900.43,441652.53,523926.87
36,8,"2,004",38.76833333,-74.61666667,7.1,NA,28830.74,28772.54,1.41E-05,2.84E-05,162115.28,66015.79,202484.23,306068.58,421368.81,503086.99
37,10,"2,002",37.63333333,-74.52916667,4.9,NA,76487.36,76114.08,8.90E-06,0,151654.64,177995.01,326334.25,418251.24,521866.6,606496.63
38,5,"2,001",37.57666667,-74.48,5.34,NA,83503.02,82896.34,8.50E-06,0,157632.6,185429.34,332125.25,422742.31,525257.77,610040
39,11,"2,005",38.96333333,-74.47833333,8.7,NA,25174.61,25077.8,1.47E-05,2.80E-05,184111.87,66701.41,178511.97,281197.39,396976.83,478451.23
40,5,"2,002",38.96333333,-74.36,6.6,NA,33872.76,33668.39,1.46E-05,2.34E-05,192484.58,76505.74,176670.71,276200.6,390474.79,472422.35
41,10,"2,001",37.9,-74.34,3.3,NA,77872.57,77195.91,9.70E-06,0,162583.32,157434.67,294847.74,384506.18,487731.8,572354.39
42,10,"2,001",37.72666667,-74.275,0,-23.5,90636.49,90020.86,8.70E-06,0,170812.68,177243.82,313794.02,401029.9,501876.14,586819.11
43,11,"2,001",40.465,-73.92666667,6.4,NA,5126.14,5087.97,1.80E-05,4.87E-05,338024.27,186063.65,11108.34,121102.2,249676.27,322287.64
44,5,"2,002",40.335,-73.86333333,8.1,NA,9273.5,9187.22,1.80E-05,4.49E-05,329599.43,178059.03,25373.6,126604.35,253373.16,328226.12
45,11,"2,004",38.21833333,-73.835,5.5,NA,108944.62,107886.35,1.00E-05,0,207167.76,157343.48,258588.62,337224.42,435209.98,520318.73
46,11,"2,005",40.42,-73.79833333,7.2,NA,15185.01,15050.44,1.82E-05,4.89E-05,340470.92,188847.76,22945.91,116084.54,243426.95,317699.44
47,11,"2,004",40.055,-73.74,7.5,NA,25372.37,25151.07,1.76E-05,3.19E-05,312588.97,163697.19,57832.88,144090.73,265029,343732.86
48,11,"2,002",40.17,-73.72666667,7.2,NA,23797.48,23601.42,1.78E-05,3.73E-05,322841.72,172926.05,47142.12,132924.16,255667.31,333389.78
49,11,"2,004",36.565,-73.65666667,8.7,NA,188971.4,187608.8,2.50E-06,0,275434.36,318084.06,444502.65,515821.99,600028.9,685577.6
50,5,"2,004",38.42666667,-73.65,6.4,NA,117574.66,117032.46,1.05E-05,0,226580.31,156741.69,236962.65,310619.58,407084.99,492264.7
51,5,"2,004",40.18166667,-73.64,6.6,NA,30648.5,30383.98,1.79E-05,3.72E-05,328730.86,179279.19,50544.31,127604.48,249273.72,327507.49
52,11,"2,000",39.99666667,-73.55,6.24,NA,42689.62,42325.22,1.74E-05,2.62E-05,319272.85,172766.8,71597.48,141534.82,258013.48,338433.15
53,11,"2,000",39.035,-73.41,3.82,NA,91119.37,90635.44,1.30E-05,0,267737.87,155987.21,174756.04,239514.33,337356.97,422193.96
54,11,"2,003",40.15,-73.355,4.6,NA,50584.5,50893.6,1.79E-05,3.11E-05,343060.63,196085.04,70815.43,118906.88,234205.2,314728.32
55,11,"2,000",40.43833333,-73.23666667,6.74,NA,20452.79,20623.16,1.87E-05,4.70E-05,372959.59,223794.36,67820.33,85444.36,204763.45,283469.86
56,11,"2,001",40.405,-73.235,0,-22.3,24154.41,24356.19,1.86E-05,4.49E-05,370370.15,221499.51,68581.57,88731.05,207133.99,286214.15
57,5,"2,001",40.14,-73.13333333,6.03,NA,54529.78,54963.21,1.77E-05,2.53E-05,356085.36,211075.4,87179.68,113644.97,222326.93,304374.44
58,8,"2,004",38.6625,-73.13,3.9,NA,134899.24,134527.11,9.90E-06,0,276310.7,187487.87,222048.1,276798.36,363833.78,449417.57
59,11,"2,001",40.44,-73.105,5.9,NA,22830.72,22996.06,1.87E-05,4.41E-05,380842.14,232457.39,78776.63,80864.95,196423.59,276203.56
60,11,"2,005",38.78,-73.06666667,5,NA,131418.22,130895.78,1.04E-05,0,285146.91,189437.75,211761.72,263148.12,349581.33,435163.48
61,5,"2,002",40.525,-73.03333333,7.4,NA,15482.25,15585.97,1.90E-05,4.69E-05,391839.62,243132.31,84230.96,69899.18,185540.92,265022.08
62,11,"2,004",39.09666667,-73.00833333,5,NA,117557.31,116886.06,1.20E-05,0,302013.8,190016.46,181837.99,227349.07,315209.31,400681.47
63,8,"2,004",40.48,-72.92,5.3,NA,23403.77,23543.98,1.89E-05,4.08E-05,395099.23,247492.02,93890.67,72517.43,182149.01,263050.09
64,11,"2,005",39.183,-72.81,4.8,NA,127676,126914.38,1.18E-05,0,321437.22,206945.46,182415.04,216827.06,299373.48,384972.9
65,5,"2,001",39.25666667,-72.79166667,6.17,NA,125210.39,124469.02,1.23E-05,0,326222.87,208818.14,176585.85,208554.39,291179.79,376764.75
66,5,"2,004",39.54666667,-72.78833333,0,NA,114617.25,113609.57,1.41E-05,0,341262.44,213418.02,151812.62,176052.26,261641.24,347028.56
67,11,"2,002",40.58666667,-72.77333333,6.9,NA,17835.65,17932.77,1.92E-05,4.12E-05,412260.16,264530.14,106281.86,59524.95,164991.46,246090.81
68,5,"2,002",39.53,-72.535,5.5,NA,133773.89,134698.08,1.33E-05,0,359344.02,234228.53,168651.37,179045.78,254418.61,340049.69
69,11,"2,001",39.79333333,-72.425,4.4,NA,110350.79,110957.52,1.47E-05,0,381845.57,250188.72,158569.63,151270.11,223579.3,309200.81
70,11,"2,003",39.40666667,-72.295,0,NA,154003.59,154929.9,1.16E-05,0,371805.61,252500.29,193151.05,195934.5,260569.07,345970.93
71,11,"2,002",39.675,-72.255,5.9,NA,127974.21,128847.3,1.34E-05,0,387985.65,260822.29,177847.11,167449.46,230888.15,316406.52
72,11,"2,001",40.93333333,-71.67666667,6.7,NA,21167.89,21129.38,1.84E-05,3.67E-05,506891.37,362007.08,202955.62,93798.37,81749.72,167265.68
73,11,"2,005",40.095,-71.67333333,2.5,NA,103903.7,104450.17,1.45E-05,0,453865.76,321101.29,204704.8,147154.12,173465.19,257389.62
74,11,"2,003",40.01333333,-71.56666667,5,NA,116027.17,116658.23,1.36E-05,0,457323.56,326929.85,215797.96,159935.5,181505.98,264513.13
75,8,"2,004",40.14833333,-71.55833333,3.9,NA,102602.66,103203.61,1.44E-05,0,465265.68,332225.86,212811.77,148953.28,166378.87,249525.1
76,5,"2,001",40.095,-71.50833333,5.31,NA,109747.35,110374.31,1.39E-05,0,466024.93,334346.05,218247.89,156210.63,172000.93,254629.98
77,5,"2,004",40.05833333,-71.5,4.7,NA,113753.02,114416.71,1.36E-05,0,464677.34,333786.78,219917.7,159734.29,176056.55,258558.91
78,11,"2,004",40.52,-71.34833333,5,NA,72207.84,72739.75,1.57E-05,3.90E-06,502007.72,364043.49,225780.9,136751.86,124023.37,205463.8
79,11,"2,005",41.18833333,-71.33333333,6.1,NA,17940.61,17804.08,1.80E-05,4.14E-05,547117.81,401624.37,238020.43,120164.27,49266.23,131658.35
80,5,"2,001",40.74,-71.25333333,5.91,NA,52133.23,52370.42,1.64E-05,1.37E-05,522294.32,381888.61,234688.47,133846.4,99852.82,179952.59
81,5,"2,002",40.94,-71.23833333,5.1,NA,35175.14,35152.51,1.71E-05,2.52E-05,536309.73,393661.37,238986.1,129587.17,77761.41,157587.16
82,8,"2,004",40.93833333,-71.16166667,2.7,NA,40270.96,40177.49,1.68E-05,2.28E-05,541368.78,399137.55,245252.29,135938.08,79102.85,157012.59
83,6,"2,004",41.35166667,-71.10833333,6.7,NA,13169.83,13241.33,1.75E-05,4.73E-05,573174.06,427368.25,261608.67,140925.63,37804.6,110523.67
84,11,"2,004",40.225,-71.09666667,5,NA,109843.04,110557.51,1.30E-05,0,503522.06,371900.78,249639.36,172526.56,158724.34,236353.55
85,11,"2,000",41.35833333,-71.01833333,7.33,NA,8135.96,8135.67,1.72E-05,4.65E-05,579439.55,433971.29,268894.42,148413.57,42006.02,109271.08
86,11,"2,002",41.21666667,-70.97833333,6.8,NA,13037.1,12958.82,1.68E-05,3.56E-05,572246.79,428156.59,267219.87,149840.97,56381.76,125064.36
87,6,"2,002",42.215,-70.63833333,6.3,NA,6312.77,6273.42,1.48E-05,5.88E-05,666223.32,517075.15,339843.25,214959.8,89246.85,30427.71
88,8,"2,001",42.39833333,-70.6,0,-23.7,20626.8,20590.17,1.40E-05,5.06E-05,682713.61,532961.65,353948.84,229572.58,107053.05,31269.85
89,8,"2,001",42.4,-70.58666667,2.6,NA,20916.31,21025.91,1.39E-05,4.97E-05,683622.68,533897.2,354946.32,230547.86,107855.49,32374.4
90,11,"2,003",41.165,-70.585,7.5,NA,20443.41,20499.93,1.51E-05,2.14E-05,595266.68,453495.88,297467.59,182318.73,83306.65,134691.78
91,11,"2,001",42.46333333,-70.55833333,4.7,NA,15374.03,15419.38,1.36E-05,4.61E-05,690241.02,540364.26,360954.7,236754.77,114929.49,36778.4
92,11,"2,004",42.405,-70.55166667,6.9,NA,21405.27,21498.16,1.38E-05,4.84E-05,686060.84,536402.94,357608.12,233156.29,110042.45,35289.71
93,1,"2,002",42.43666667,-70.545,5.7,NA,18488.06,18549.14,1.37E-05,4.64E-05,688925.58,539171.79,360098.18,235755.4,113180.35,36756.69
94,6,"2,004",42.46166667,-70.52333333,6.7,NA,17168.53,17192.17,1.35E-05,4.44E-05,692147.28,542358.5,363164.75,238875.35,116477.9,39360.89
95,1,"2,002",42.50666667,-70.48333333,0,-21.9,15821.58,15861.55,1.32E-05,4.11E-05,698004.82,548156.87,368759.06,244565.46,122462.69,44357.25
96,6,"2,002",42.54833333,-70.45,4.8,NA,14097,14090.28,1.29E-05,3.77E-05,703213.53,553303.94,373704,249610.17,127823.37,48916.58
97,8,"2,004",42.055,-70.415,4.2,NA,13998.5,13900.07,1.43E-05,4.89E-05,667757.47,520023.3,346454.91,221536.25,92233.56,55357.04
98,11,"2,000",43.32333333,-70.37833333,6.65,NA,5182.66,5189.86,9.00E-06,4.30E-06,770343.53,618834.52,434718.6,315234.73,206207.39,120578.09
99,11,"2,001",41.13166667,-70.37666667,5,NA,20395.4,20481.96,1.40E-05,1.28E-05,607520.12,467054.56,313630.35,199644.32,99492.51,143277.52
100,8,"2,001",43.12,-70.36833333,2.7,NA,18735.1,18649.28,1.01E-05,1.22E-05,753924.11,602742.61,419553.96,298543.33,185960.3,100612.01
101,8,"2,001",43.09333333,-70.35333333,0,-23,20868.75,20789.39,1.02E-05,1.33E-05,752543.49,601432.12,418434.56,297164.38,183852.61,98646.67
102,6,"2,001",41.97333333,-70.35166667,7.3,NA,13099.16,13105.68,1.42E-05,4.49E-05,665760.6,518680.95,346814.6,222185.04,92606.43,64989.41
103,8,"2,004",43.47833333,-70.34,3.1,NA,1466.13,1459.27,8.10E-06,5.00E-07,785465.48,633809.02,449256.1,330697.33,223346.33,137721.33
104,8,"2,001",42.14333333,-70.315,4.6,NA,9993.13,10006.38,1.37E-05,4.25E-05,680444.89,532567.14,358427.59,233438.08,104444,57947.29
105,6,"2,004",43.19,-70.30333333,5.2,NA,20886.92,20925.51,9.50E-06,8.20E-06,763246.96,612031.49,428727.65,307871.13,195307.44,110007.68
106,11,"2,000",42.33833333,-70.28833333,6.58,NA,29184.85,29363.49,1.31E-05,3.75E-05,696615.99,547905.48,371443.02,246486.51,119439.73,55973.13
107,11,"2,001",42.06833333,-70.28166667,5.3,NA,2986.73,2966.47,1.37E-05,4.06E-05,677027.66,529646.56,356813.8,231976.45,102495.22,63969.29
108,8,"2,003",42.58833333,-70.235,3.9,NA,28279.52,28115.35,1.20E-05,2.81E-05,718902.49,569354.11,390556.18,266153.15,142343.26,66584.04
109,8,"2,003",41.94,-70.21666667,4.6,NA,9106.15,9162.9,1.37E-05,3.55E-05,671927.63,525501.91,355149.73,230857.09,101507.98,76104.2
110,8,"2,004",43.45833333,-70.14833333,4.4,NA,11045.77,11059.82,7.80E-06,1.00E-07,793906.77,642465.98,458496.93,338680.19,227696.84,142275.25
111,11,"2,001",43.35,-70.1,4.9,NA,21619.91,21557.34,8.20E-06,1.00E-06,787514.56,636295.95,452926.08,332137.86,218774.96,133789.38
112,11,"2,004",43.49,-69.97166667,6.5,NA,20000.5,19938.13,7.20E-06,0,806035.86,654752.6,471176.22,350677.74,237457.61,152527.16
113,1,"2,002",43.49,-69.95,4.7,NA,21604.17,21531.76,7.10E-06,0,807209.37,655952.42,472441.64,351841.21,238313.15,153471.06
114,11,"2,002",43.13666667,-69.805,3.7,NA,54741.39,54666.63,8.40E-06,1.70E-06,786740.9,636430.49,455337.62,332206.24,211879.91,130619.77
115,8,"2,001",43.31333333,-69.75333333,3.6,NA,42907.59,43087.92,7.50E-06,0,803719.56,653074.99,471103.51,348690.67,230208.68,147579.42
